"2016","수원서부",471,11657,61083,25,130
"2016","수원중부",587,17181,71572,29,122
"2016","순창",118,502,3974,4,34
"2016","순천",477,10166,75268,21,158
"2016","시흥",725,23517,93571,32,129
"2016","아산",375,8600,66158,23,176
"2016","안동",329,5681,41123,17,125
"2016","안산단원",722,20587,94406,29,131
"2016","안산상록",563,15963,73426,28,130
"2016","안성",306,7253,29667,24,97
"2016","안양동안",449,10415,43204,23,96
"2016","안양만안",421,9383,69833,22,166
"2016","양구",101,465,3320,5,33
"2016","양산",364,10102,67571,28,186
"2016","양주",290,7301,27998,25,97
"2016","양평",238,3671,21435,15,90
"2016","여수",516,10732,68433,21,133
"2016","여주",250,5042,22917,20,92
"2016","연천",164,1325,7837,8,48
"2016","영광",156,1621,10295,10,66
"2016","영덕",121,1371,7661,11,63
"2016","영동",147,1100,7208,7,49
"2016","영암",170,2422,12294,14,72
"2016","영양",83,333,2304,4,28
"2016","영월",139,1063,7054,8,51
"2016","영주",220,3132,23048,14,105
"2016","영천",224,3039,18493,14,83
"2016","예산",177,2500,16874,14,95
"2016","예천",126,797,6786,6,54
"2016","옥천",136,1395,7556,10,56
"2016","완도",165,1371,6813,8,41
"2016","완주",202,1988,21758,10,108
"2016","용인동부",630,16764,74515,27,118
"2016","용인서부",341,8464,43851,25,129
"2016","울릉",58,191,3499,3,60
"2016","울산남부",625,14264,106633,23,171
"2016","울산동부",372,6195,45259,17,122
"2016","울산울주",369,7422,40912,20,111
"2016","울산중부",543,11918,77530,22,143
"2016","울진",142,1236,10773,9,76
"2016","원주",539,14933,79619,28,148
"2016","음성",207,4930,22454,24,108
"2016","의령",133,649,5312,5,40
"2016","의성",172,1082,8102,6,47
"2016","의왕",208,3877,14791,19,71
"2016","의정부",727,14893,88582,20,122
"2016","이천",344,8327,40655,24,118
"2016","익산",493,9752,71173,20,144
"2016","인제",121,869,5116,7,42
"2016","인천강화",213,2061,8433,10,40
"2016","인천계양",472,8788,72943,19,155
"2016","인천남동",783,18772,90723,24,116
"2016","인천부평",470,9349,68846,20,146
"2016","인천삼산",439,9198,69245,21,158
"2016","인천서부",627,16658,119339,27,190
"2016","인천연수",419,9445,68470,23,163
"2016","인천중부",557,8553,57347,15,103
"2016","일산동부",449,17910,4217,40,9
"2016","일산서부",349,302,3351,1,10
"2016","임실",124,519,4533,4,37
"2016","장성",141,1293,6284,9,45
"2016","장수",102,447,2764,4,27
"2016","장흥",144,1400,7439,10,52
"2016","전주덕진",505,9072,76496,18,151
"2016","전주완산",539,9948,73765,18,137
"2016","정선",156,1923,10817,12,69
"2016","정읍",309,3100,21841,10,71
"2016","제주동부",441,14398,76073,33,173
"2016","제주서부",350,11646,41450,33,118
"2016","제천",256,4382,30465,17,119
"2016","진도",130,986,5706,8,44
"2016","진안",129,386,4580,3,36
"2016","진주",496,11182,72813,23,147
"2016","진천",151,2724,16944,18,112
"2016","진해",237,6294,29221,27,123
"2016","창녕",157,1781,12385,11,79
"2016","창원서부",315,7002,41627,22,132
"2016","창원중부",418,8610,46120,21,110
"2016","천안동남",388,9054,37052,23,95
"2016","천안서북",424,14938,81762,35,193
"2016","철원",125,972,7658,8,61
"2016","청도",118,1039,8448,9,72
"2016","청송",101,694,3995,7,40
"2016","청양",128,679,5169,5,40
"2016","청주상당",338,8425,53843,25,159
"2016","청주청원",360,8912,52346,25,145
"2016","청주흥덕",472,12313,63926,26,135
"2016","춘천",459,11225,76429,24,167
"2016","충주",336,8322,41876,25,125
"2016","칠곡",223,4496,32032,20,144
"2016","태백",150,1528,10914,10,73
"2016","통영",249,5715,21462,23,86
"2016","파주",535,15244,45777,28,86
"2016","평창",138,1475,8216,11,60
"2016","평택",772,25169,75970,33,98
"2016","포천",340,7195,37057,21,109
"2016","포항남부",417,8398,58572,20,140
"2016","포항북부",437,9019,49389,21,113
"2016","하남",239,6465,24319,27,102
"2016","하동",149,1298,7786,9,52
"2016","함안",157,1887,4119,12,26
"2016","함양",129,1076,6420,8,50
"2016","함평",125,807,7375,6,59
"2016","합천",158,1209,4060,8,26
"2016","해남",209,2084,12526,10,60
"2016","홍성",202,2980,20649,15,102
"2016","홍천",186,2758,15720,15,85
"2016","화성서부",414,14645,28528,35,69
"2016","화순",158,1458,13395,9,85
"2016","화천",104,517,3910,5,38
"2016","횡성",135,1369,9133,10,68
